맛집명,경도,위도
용마루굴다리껍데기,126.95807394254,37.5491294102923
웰빙김치찜,126.953313783422,37.5451971969511
군자네,126.939503739752,37.5455187128379
팔팔전복,126.950919164777,37.5420478638275
한강껍데기,126.902289410072,37.5566655272932
만복기사식당,126.899897386085,37.5552773393211
청어람,126.907512108357,37.5581272767807
The450,126.922746894157,37.5497059708606
오복가정식,126.894099289531,37.5775150688779
오비야,126.924370535188,37.5554625063208
바다회사랑,126.919397679213,37.5554799392549
뉴욕엔와이,126.92236410063,37.5529380503433
강수돌곱창,126.922116797513,37.5529646471144
훈남닭발,126.922636665474,37.5511354224377
김앤김대게전문점,126.918727683394,37.55267485459
어메이징타일랜드,126.919268861458,37.5543504508876
우동카덴,126.915051706287,37.5516929725592
징기스,126.922666981571,37.5502713850633
하노이안,126.921335996581,37.5492378717114
리치몬드과자점,126.915630367808,37.5613986592448
삼국지,126.924044588369,37.5609333311901
아소정,126.946439930884,37.5465728076749
철길왕갈비살,126.931643511586,37.5545911713015
한옥집,126.964833587692,37.5666415970658
대흥뚝배기,126.945086245947,37.5580764889697
면면,126.911114468597,37.5836227963153
시오,126.928676577517,37.5671932780487
청송함흥냉면,126.928770857084,37.5658947297689
야바이,126.936228500202,37.5587827434738
라화쿵부,126.936498645135,37.5590634595322
텍사스데브라질,127.006329730304,37.5039136782208
도셰프,127.021112201994,37.5094723338852
팔팔민물장어,127.019798612484,37.5034740296611
백년옥,127.013766449956,37.4811743254504
봉산옥,127.012465702023,37.4833463516359
분짜라붐,127.024885855234,37.5000960976359
황금복국,127.027353048081,37.4958283857722
하나우동,127.028231555563,37.494528747043
담뿍화로된장찌개,127.02835840545,37.492960874288
꼴더덕꼴더덕,127.0122768779,37.4839983412423
아따맵소,127.008689740815,37.4877209049516
영광굴비식당,127.01156689245,37.4924923046298
우작설렁탕,127.016118193246,37.4862345428831
대가향,127.018487893521,37.4954222199788
디안다만,127.03911387726,37.4848651314049
강촌원조쭈꾸미,127.036245523686,37.483305499426
오대산산채식당,127.039962036556,37.4847378053902
소백산,127.042950842244,37.4685445323956
양재동첫번째찜,127.042610908497,37.4669233762826
박달재자연식당,127.042964584302,37.4666810564273
은성보쌈,127.022316152197,37.5484490848018
성화생라멘,127.035835151425,37.5633562739558
목포산꽃게,127.045038653501,37.5677876439896
나폴레옹제과점,127.00513663453,37.5889250664387
호인족발,127.135820094319,37.4960357627541
도토리편백집,127.118711810071,37.4863288139855
주은감자탕,127.096815791554,37.5036824397374
미타우동,127.090388275367,37.5064191998723
가나안,127.112303332121,37.5004808841553
대갈곱창&막창,127.108974701045,37.5099428412217
탕,127.084764110888,37.5096518493462
숲속도토리마을,126.849358461464,37.5154721005591
부여집,126.892213526995,37.5242898828965
대림동삼거리 먼지막순대국,126.90722777278,37.4917389734859
송원마포돼지갈비,126.88938699716,37.5165985641557
이필당,126.895683320937,37.5357540034126
정인면옥,126.92162011208,37.5306831411657
하롱베이의 하루,126.918741678497,37.5257046937179
부흥동태,126.927264114543,37.5202050349063
닭한마리,126.90962312264,37.5177903293505
전주전집,126.907685322272,37.518986353805
송죽장,126.905264231255,37.5183770706131
땅끝마을매생이굴국밥,126.962226750659,37.5360492892598
정통우거지탕,126.961661916471,37.5345396608099
미스터케밥,126.995360633607,37.5343565824842
핍스에비뉴,126.994890928,37.5351675539257
알리바바,126.99658254061,37.5348164048919
꾸띠자르당,126.994554567051,37.5334421222125
로코스비비큐,126.995500757998,37.5409698404859
코리아노스키친,126.988241196191,37.5344189780586
마음과마음,126.987102487709,37.5373469310417
쌀롱드누이,126.989200614507,37.5345731408358
마더스오피스,126.987265739178,37.537453987606
해피홈레스토랑,126.991504581207,37.5340434504355
트로이카,126.992322592398,37.5340267478304
오근내닭갈비,126.959709151902,37.5245387945162
원대구탕,126.974220938093,37.5346915550633
가람떡갈비,126.963635916385,37.5261177236807
속초생선찜,126.917692390824,37.6202510195653
미소복원조양평해장국,126.918773803264,37.6169104558283
목포세발낙지,126.93135556271,37.6097512611124
항아리홍어,126.931162937566,37.6099725219465
대관령황태마을,126.910174842954,37.6035386828847
만석쌈밥,126.949510820561,37.6558950379057
이문설농탕,126.983892954493,37.5727344828923
전주식당,126.991141229033,37.5698965737949
펭귄마카롱,126.985618851796,37.5736126352104
북촌공장,126.986135785438,37.5732965379466
여자만,126.98483092972,37.5749468197306
메이탄,126.964622832555,37.5685453381045
장모님해장국,126.955642949419,37.6088746036387
순라길,126.991529191282,37.5765196357673
종로진낙지,126.989099430843,37.5721089769887
혜화양육관,127.000824427594,37.5825975915368
다락정,126.981491005006,37.5872438262538
만정,126.981984760171,37.5863196641898
우정낙지,126.979512820172,37.5694007523236
조선김밥,126.981637095441,37.5788056853528
경원집족발,126.97349911042,37.5761867506473
미진,126.979850194195,37.5704589394035
와글와글족발,127.010818992705,37.572383517691
억조,127.003660387148,37.5720741945858
인디테이블,126.975196807567,37.5564901766354
호남식당,126.976968779973,37.5598240450606
용금옥,126.980538363389,37.5676553369029
오후청,126.978003372728,37.5620843026804
참숯꼼장어,127.021000079302,37.5650202907765
마복림떡뽁이,127.015098325981,37.5632076676541
원조남산왕돈까스,126.986113157148,37.5573796278376
뿌자2,127.006804117748,37.5668931509513
황평집,126.996129704264,37.5640683904792
두툼,126.965306488642,37.5581161473011
전주중앙회관,126.983772187831,37.561176220966
유정집,127.094449841298,37.6154911071187
옥경이네건생선,127.019535484292,37.5661001157126
곰국수손만두,127.004694417493,37.5624491798675
을지로전주옥,126.98940263175,37.5669261181463
강구미주구리,126.973030070927,37.5765901097208
고래불수산,126.997299137403,37.573714932288
다락정,126.981491005006,37.5872438262538
소이연남,126.925377878746,37.5635325649477
원조제일어버이순대,126.972031442573,37.54158379895
미성옥,126.983925699881,37.5641637662639
마복림떡볶이,127.015116325142,37.5632211802975
희락갈치,126.977077182341,37.559902542991
